Date,Humidity,Events,Weather,Rainfall,Tourism_Demand
2004-01,85.44,Ibaka,Sunny,12.33,2220
2004-02,92.83,Ibaka,Stormy,130.78,1895
2004-03,93.95,Ibaka,Cloudy,188.48,1525
2004-04,78.4,Ibeno Beach,Sunny,44.66,1735
2004-05,66.56,Ibaka,Stormy,70.52,1408
2004-06,62.82,Ekpo Display,Cloudy,69.45,1468
2004-07,93.88,Ibeno Beach,Sunny,24.99,1680
2004-08,61.2,Ekpo Display,Sunny,26.45,1667
2004-09,68.75,Ibeno Beach,Rainy,93.76,1529
2004-10,78.94,Ekpo Display,Sunny,30.82,1722
2004-11,98.66,Ibaka,Cloudy,174.93,1549
2004-12,75.97,Ekpo Display,Cloudy,103.97,1959
2005-01,75.68,Ibeno Beach,Sunny,19.69,2203
2005-02,88.33,Ekpo Display,Cloudy,258.12,1976
2005-03,65.09,Ekpo Display,Cloudy,14.26,1506
2005-04,93.76,Ekpo Display,Rainy,141.08,1464
2005-05,91.88,Ibaka,Rainy,220.21,1478
2005-06,82.35,Ekpo Display,Sunny,37.93,1734
2005-07,96.27,Ekpo Display,Sunny,31.91,1669
2005-08,87.32,Ibeno Beach,Cloudy,107.44,1535
2005-09,99.88,Ekpo Display,Sunny,2.81,1680
2005-10,70.37,Ibaka,Sunny,19.75,1748
2005-11,68.08,Ibaka,Sunny,2.65,1662
2005-12,85.96,Ibaka,Cloudy,170.16,1981
2006-01,86,Ekpo Display,Sunny,45.33,2161
2006-02,99.35,Ibaka,Cloudy,142.65,1980
2006-03,90.85,Ekpo Display,Sunny,5.84,1699
2006-04,83.93,Ekpo Display,Cloudy,108.27,1527
2006-05,96.81,Ibeno Beach,Cloudy,190.63,1518
2006-06,90.24,Ibaka,Cloudy,256.7,1469
2006-07,62.62,Ekpo Display,Rainy,37.13,1516
2006-08,76.33,Ibeno Beach,Sunny,28.24,1727
2006-09,91.61,Ekpo Display,Sunny,23.76,1713
2006-10,77.01,Ekpo Display,Cloudy,155.72,1479
2006-11,73.27,Ekpo Display,Rainy,191.78,1531
2006-12,63.33,Ekpo Display,Rainy,70.89,2029
2007-01,97.51,Ibaka,Sunny,48.91,2211
